fname,lname,address,dob,phoneNum,pw,nationCard,loanKHR,loanUSD,totalKHR,totalUSD
Name502,Surname904,479 Random Street,04-25-1990,6429514182,pass374,4000,39874,2347,42513,2895
Name386,Surname539,288 Random Street,12-19-1988,6968590572,pass292,7826,6178,3237,12909,3250
Name357,Surname250,9 Random Street,02-03-1984,2926017555,pass843,5058,95788,190,100186,626
Name53,Surname799,177 Random Street,01-22-1979,3172719962,pass522,5012,26332,256,34402,615
Name86,Surname994,143 Random Street,09-01-1985,4403015099,pass275,3743,18023,2477,26792,3108
Name338,Surname492,254 Random Street,06-25-1989,6799091759,pass445,3631,71790,4728,75730,4827
Name216,Surname282,493 Random Street,07-14-2009,5805427222,pass231,1002,48301,3304,57187,4166
Name250,Surname649,256 Random Street,08-28-1989,7993867797,pass367,3043,29495,3181,35543,3789
Name878,Surname837,438 Random Street,08-21-1972,9159336997,pass158,2343,52391,2640,61457,2734
Name192,Surname45,5 Random Street,11-18-1977,4715072006,pass307,9411,79815,4631,84899,4868
Name794,Surname522,40 Random Street,10-19-2006,1816034459,pass236,3516,38177,4436,43587,4995
Name437,Surname857,360 Random Street,11-11-1973,2130117063,pass961,3428,29755,2927,32500,3419
Name208,Surname867,54 Random Street,03-28-1993,8396942452,pass965,5023,22370,298,23731,383
Name15,Surname553,86 Random Street,09-01-2009,4143919729,pass302,4900,16106,4410,24637,4456
Name646,Surname371,16 Random Street,10-18-1991,1444284663,pass295,1528,68203,3443,75697,3679
Name549,Surname734,203 Random Street,06-28-1979,7829128014,pass206,7242,48335,4115,57127,4327
Name92,Surname19,120 Random Street,04-06-2008,6494142004,pass755,5586,72089,4736,75589,5018
Name357,Surname363,249 Random Street,05-22-1976,9280659855,pass104,2730,97667,4238,105038,5104
Name948,Surname554,347 Random Street,07-09-1970,9256771180,pass613,9762,21269,2346,26322,2631
Name641,Surname198,426 Random Street,02-12-2005,4989781153,pass675,6021,78010,1549,80351,1829
Name56,Surname582,201 Random Street,09-21-1992,9059904045,pass484,7822,20917,2191,21596,2313
Name59,Surname817,478 Random Street,02-10-1999,3118329477,pass666,8819,88082,2863,89687,3672
Name697,Surname831,241 Random Street,07-03-1984,1491115449,pass714,2483,90184,1969,98193,2413
Name619,Surname754,252 Random Street,11-25-1976,7178759754,pass924,7681,74403,4898,76241,5476
Name743,Surname259,354 Random Street,09-27-1982,6395953124,pass182,5378,18878,318,22109,435
Name847,Surname16,219 Random Street,07-02-1993,5486174201,pass273,2359,2620,3600,9577,3714
Name218,Surname576,281 Random Street,11-21-2007,9729189961,pass228,6310,41906,4767,49700,5487
Name252,Surname195,311 Random Street,09-24-1985,9441867004,pass597,3467,79704,4242,85906,4558
Name25,Surname204,162 Random Street,03-05-1987,9062134137,pass514,9744,71669,3888,72898,4733
Name456,Surname455,266 Random Street,09-24-1980,5303622643,pass732,9682,94318,630,104141,1538
Name847,Surname928,384 Random Street,06-24-2003,9798485256,pass183,2579,69730,2996,71174,3736
Name817,Surname505,121 Random Street,01-09-2005,3352921482,pass760,2360,66583,1393,73090,1688
Name220,Surname825,242 Random Street,02-22-1990,6564801022,pass294,4532,3947,1802,9943,2385
Name909,Surname382,454 Random Street,11-25-1984,4128794367,pass193,8329,97507,3945,98228,4084
Name533,Surname910,153 Random Street,03-15-1983,2614539512,pass481,6063,52507,3464,59998,4009
Name608,Surname564,155 Random Street,04-23-1986,5204868817,pass518,9712,18923,519,19442,1422
Name589,Surname815,361 Random Street,09-13-1984,5190310214,pass899,8670,57289,215,66668,1136
Name382,Surname769,341 Random Street,02-08-1995,3382364594,pass446,3923,9079,1943,17111,2081
Name906,Surname91,118 Random Street,04-23-2010,6911485514,pass883,5310,22027,3995,24816,4271
Name269,Surname65,156 Random Street,11-19-1972,9251854440,pass627,6741,24489,4684,27530,5589
Name724,Surname842,53 Random Street,07-01-1979,5326458297,pass244,6473,32966,833,40703,1487
Name137,Surname375,378 Random Street,09-22-1994,7559939232,pass802,7555,45477,1281,50316,1502
Name264,Surname424,217 Random Street,04-05-2008,8193310178,pass326,7949,38299,879,47359,1754
Name141,Surname542,114 Random Street,09-21-1992,4513824424,pass435,5132,83981,2247,88838,2871
Name123,Surname734,316 Random Street,08-27-1989,7397008315,pass749,1914,68658,1297,73850,2211
Name728,Surname887,158 Random Street,01-10-1972,3792517260,pass830,8137,16383,1708,26079,2700
Name547,Surname20,114 Random Street,01-19-1983,7527640483,pass433,8848,94846,2201,98765,2859
Name439,Surname489,455 Random Street,02-22-1992,1726349210,pass393,3732,78553,1512,80036,2297
Name939,Surname886,140 Random Street,04-16-1982,3241453066,pass534,8225,82637,2310,91350,2351
Name728,Surname124,487 Random Street,05-24-2002,1033133203,pass373,9222,94901,80,96644,282
Name452,Surname90,316 Random Street,09-06-1988,5323388957,pass443,6772,83300,4881,84649,5595
Name879,Surname706,417 Random Street,10-06-1995,4769019209,pass631,3576,30916,2711,33274,3024
Name367,Surname725,451 Random Street,05-15-1977,9473354749,pass717,9656,33466,1571,36412,2529
Name820,Surname768,376 Random Street,08-22-1976,8656931547,pass427,3524,59737,2107,63906,2153
Name486,Surname236,109 Random Street,01-02-1998,2521460341,pass472,6225,67503,1549,70791,1820
Name536,Surname805,232 Random Street,05-21-1992,7269615938,pass979,7481,68593,165,71286,1020
Name412,Surname243,349 Random Street,08-16-2009,5945394609,pass314,6714,43522,1042,46463,1709
Name483,Surname967,27 Random Street,07-14-1996,1362366483,pass515,7623,6255,1211,12153,1581
Name849,Surname552,290 Random Street,07-04-1977,5369950652,pass402,7987,24122,811,32661,1329
Name851,Surname824,241 Random Street,07-02-1997,6087259637,pass538,7150,60898,716,65958,1610
Name673,Surname532,7 Random Street,01-22-1996,1836265883,pass213,6836,14608,3131,16196,3690
Name289,Surname586,169 Random Street,10-08-1989,5116426292,pass229,4507,4154,2126,11264,2571
Name473,Surname729,369 Random Street,04-19-1985,8080517719,pass956,2091,18316,122,21639,857
Name651,Surname484,76 Random Street,10-17-1979,7699656582,pass935,1661,23022,3711,28045,4669
Name477,Surname639,257 Random Street,10-18-2004,9856284237,pass975,7171,58033,2811,64969,3082
Name99,Surname261,356 Random Street,09-21-2000,1649167486,pass673,2936,83867,3046,84510,3607
Name209,Surname926,496 Random Street,01-20-2004,4200273896,pass684,7412,80276,704,82731,1314
Name297,Surname264,409 Random Street,01-26-2009,8119528695,pass995,3298,57361,2877,64107,3673
Name682,Surname199,499 Random Street,02-07-1992,6935336957,pass200,9528,72395,3584,75714,3848
